78,22.94,23.69
78,23.00,23.75
1158,22.94,23.75
2239,22.94,23.75
3320,23.00,23.75
4402,23.00,23.75
5500,23.00,23.75
6582,23.00,23.75
7663,22.94,23.75
8777,23.00,23.75
9860,23.00,23.75
10941,23.00,23.75
12022,23.00,23.75
13104,23.00,23.81
14185,22.94,23.75
15266,23.00,23.75
16348,23.00,23.75
17429,22.94,23.75
18510,22.94,23.75
19592,22.94,24.00
20673,22.94,24.81
21754,23.00,25.75
22836,23.00,26.63
23917,23.00,27.38
24998,23.00,28.00
26080,23.00,28.38
27161,23.06,28.63
28276,23.31,28.75
29379,23.88,28.81
30460,24.75,28.94
31542,25.56,29.00
32623,26.31,29.19
33704,26.88,29.50
34786,27.44,29.94
35867,27.88,30.25
36948,28.31,30.63
38030,28.63,30.81
39111,28.81,30.94
40192,28.94,31.06
41273,29.00,31.19
42354,29.00,31.19
43436,29.00,31.13
44517,28.94,31.06
45598,28.88,31.06
46712,28.81,30.94
47794,28.75,30.88
48875,28.63,30.88
49956,28.50,30.81
51038,28.50,30.75
52119,28.44,30.63
53199,28.38,30.63
54281,28.31,30.56
